microsample	quality
M301186	2
M301187	4
M301188	4
M301189	4
M301190	3
M301191	5
M301192	5
M301193	5
M301194	4
M301195	5
M301196	2
M301197	2
M301198	5
M301199	5
M301200	5
M301201	4
M301202	5
M301203	5
M301204	4
M301205	4
M301206	4
M301207	2
M301208	3
M301209	2
M301210	5
M301211	4
M301212	4
M301213	3
M301214	4
M301215	4
M301216	5
M301217	2
M301218	2
M301219	4
M301220	4
M301221	1
M301222	4
M301223	4
M301224	4
M301225	3
M301226	3
M301227	3
M301228	2
M301229	4
M301230	4
M301231	3
M301232	2
M301233	4
M301234	2
M301235	2
M301236	3
M301237	3
M301238	3
M301239	1
M301240	2
M301241	2
M301242	2
M301243	2
M301244	2
M301245	1
M301246	1
M301247	2
M301248	2
M301249	1
M301250	2
M301251	1
M301252	1
M301253	1
M301254	1
M301255	1
M301256	4
M301257	1
M301258	2
M301259	1
M301260	1
M301261	3
M301262	3
M301263	1
M301264	2
M301265	2
M301266	2
M301267	1
M301268	2
M301269	1
M301270	3
M301271	2
M301272	1
M301273	1
M301274	1
M301275	2
M301276	1
M301277	1
M301278	2
M301279	1
M301280	3
M301281	4
M301282	4
M301283	4
M301284	1
M301285	3
M301286	1
M301287	4
M301288	1
M301289	4
M301290	1
M301291	2
M301292	4
M301293	2
M301294	2
M301295	4
M301296	5
M301297	4
M301298	4
M301299	1
M301300	2
M301301	3
M301302	4
M301303	4
M301304	3
M301305	4
M301306	4
M301307	2
M301308	2
M301309	1
M301310	4
M301311	4
M301312	4
M301313	4
M301314	4
M301315	5
M301316	4
M301317	4
M301318	4
M301319	1
M301320	1
M301321	1
M301322	4
M301323	4
M301324	4
M301325	3
M301326	4
M301327	3
M301328	0
M301329	4
M301330	2
M301331	0
M301332	2
M301333	1
M301334	1
M301335	3
M301336	2
M301337	2
M301338	2
M301339	2
M301340	2
M301341	1
M301342	2
M301343	2
M301344	2
M301345	2
M301346	1
M301347	2
M301348	2
M301349	1
M301350	1
M301351	3
M301352	2
M301353	1
M301354	4
M301355	1
M301356	2
M301357	2
M301358	3
M301359	3
M301360	3
M301361	2
M301362	2
M301363	1
M301364	1
M301365	2
M301366	2
M301367	3
M301368	3
M301369	2
M301370	2
M301371	1
M301372	1
M301373	2
M301374	3
M301375	1
M301376	1
M301377	4
